Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,415,171.784,455.115,168.108,454.941,200.632,415,203.596,0.32421875,0.7614111111,0.3555585938,0.7665166667,0.3554226563,0.7213444444,0.32421875,0.7172277778
0,2,923.51,161.092,963.993,163.943,965.784,196.408,924.166,194.398,0.7214921875,0.7762611111,0.7531195313,0.7723013889,0.75451875,0.7272111111,0.7220046875,0.7300027778
0,3,423.61,416.878,463.215,416.89,464.596,448.53,425.901,446.627,0.3309453125,0.4210027778,0.3618867188,0.4209861111,0.362965625,0.3770416667,0.3327351563,0.3796847222
0,4,921.881,417.589,962.537,416.919,959.556,448.661,919.781,449.499,0.7202195313,0.4200152778,0.7519820313,0.4209458333,0.749653125,0.3768597222,0.7185789063,0.3756958333
1,1,414.111,170.413,454.061,166.665,454.061,199.098,413.781,202.28,0.3235242188,0.7633152778,0.3547351563,0.7685208333,0.3547351563,0.723475,0.3232664063,0.7190555556
1,2,922.14,159.286,963.411,161.978,964.616,194.765,923.515,192.48,0.720421875,0.7787694444,0.7526648438,0.7750305556,0.75360625,0.7294930556,0.7214960938,0.7326666667
1,3,422.674,414.783,462.346,415.329,464.521,447.4,425.337,445.631,0.3302140625,0.4239125,0.3612078125,0.4231541667,0.3629070313,0.3786111111,0.3322945313,0.3810680556
1,4,921.27,416.277,961.54,414.915,959.354,446.719,919.146,448.113,0.7197421875,0.4218375,0.751203125,0.4237291667,0.7494953125,0.3795569444,0.7180828125,0.3776208333
2,1,414.112,170.371,454,166.831,454,199.352,413.78,202.372,0.323525,0.7633736111,0.3546875,0.7682902778,0.3546875,0.7231222222,0.323265625,0.7189277778
2,2,921.435,158.762,962.58,161.789,964.404,194.472,923.453,192.324,0.7198710938,0.7794972222,0.752015625,0.7752930556,0.753440625,0.7299,0.7214476563,0.7328833333
