Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,430.76,128.366,470.741,123.321,471.97,155.362,431.107,159.911,0.33653125,0.821713889,0.367766406,0.828720833,0.368726563,0.784219444,0.336802344,0.777901389
0,2,941.687,107.158,982.683,110.28,985.336,142.696,944.379,140.472,0.735692969,0.851169444,0.767721094,0.846833333,0.76979375,0.801811111,0.737796094,0.8049
0,3,444.841,372.896,484.688,372.904,487.706,404.04,447.881,403.907,0.347532031,0.482088889,0.3786625,0.482077778,0.381020313,0.438833333,0.349907031,0.439018056
0,4,947.403,365.04,987.277,364.914,985.628,396.706,945.436,398.107,0.740158594,0.493,0.771310156,0.493175,0.770021875,0.449019444,0.738621875,0.447073611
1,1,429.834,128.419,469.822,123.473,470.693,155.63,430.151,160.106,0.335807813,0.821640278,0.367048438,0.828509722,0.367728906,0.783847222,0.336055469,0.777630556
1,2,941.271,107.529,981.925,110.298,984.628,142.995,943.486,140.475,0.735367969,0.850654167,0.767128906,0.846808333,0.769240625,0.801395833,0.737098438,0.804895833
1,3,443.881,372.946,483.905,372.954,486.807,404.188,447.104,403.905,0.346782031,0.482019444,0.378050781,0.482008333,0.380317969,0.438627778,0.3493,0.439020833
1,4,947.053,365.546,986.497,364.728,985.015,396.644,944.238,398.313,0.739885156,0.492297222,0.770700781,0.493433333,0.769542969,0.449105556,0.737685938,0.4467875
2,1,428.949,128.923,469.467,123.558,470.198,155.701,429.106,160.577,0.335116406,0.820940278,0.366771094,0.828391667,0.367342188,0.783748611,0.335239063,0.776976389
2,2,940.509,107.525,981.507,110.237,983.713,142.762,942.957,140.506,0.734772656,0.850659722,0.766802344,0.846893056,0.768525781,0.801719444,0.736685156,0.804852778
2,3,443.075,373,483.494,373,486.025,405.036,446.496,404.908,0.346152344,0.481944444,0.377729688,0.481944444,0.379707031,0.43745,0.348825,0.437627778
2,4,945.612,365.29,986.211,364.747,984.12,396.674,944.043,398.31,0.738759375,0.492652778,0.770477344,0.493406944,0.76884375,0.449063889,0.737533594,0.446791667
3,1,427.875,129.079,467.87,123.735,469.157,155.943,428.056,160.834,0.334277344,0.820723611,0.365523438,0.828145833,0.366528906,0.7834125,0.33441875,0.776619444
3,2,939.45,107.293,980.587,110.151,982.801,142.636,941.355,140.366,0.733945313,0.850981944,0.766083594,0.8470125,0.767813281,0.801894444,0.735433594,0.805047222
3,3,442.05,373,482.182,373,485.032,405,445.347,405,0.345351563,0.481944444,0.376704688,0.481944444,0.37893125,0.4375,0.347927344,0.4375
3,4,944.246,365.176,985.172,364.868,983.353,396.785,943.341,397.733,0.737692188,0.492811111,0.769665625,0.493238889,0.768244531,0.448909722,0.736985156,0.447593056
4,1,426.671,129.011,466.736,123.54,467.915,155.873,427.025,160.753,0.333336719,0.820818056,0.3646375,0.828416667,0.365558594,0.783509722,0.333613281,0.776731944
4,2,938.028,106.776,979.44,109.941,981.661,142.208,940.356,139.831,0.732834375,0.8517,0.7651875,0.847304167,0.766922656,0.802488889,0.734653125,0.805790278
4,3,440.861,372.959,481.56,373.087,483.866,405.034,444.264,404.863,0.344422656,0.482001389,0.37621875,0.481823611,0.378020313,0.437452778,0.34708125,0.437690278
4,4,943.427,365.155,984.062,364.631,982.669,396.686,942.423,397.811,0.737052344,0.492840278,0.768798438,0.493568056,0.767710156,0.449047222,0.736267969,0.447484722
5,1,425.545,129.11,465.678,123.609,466.9,155.82,426.18,160.63,0.332457031,0.820680556,0.363810938,0.828320833,0.364765625,0.783583333,0.332953125,0.776902778
5,2,937.125,106.561,978.431,109.476,981.027,141.306,939.317,139.864,0.732128906,0.851998611,0.764399219,0.84795,0.766427344,0.803741667,0.733841406,0.805744444
5,3,440.323,373.094,480.297,372.809,483.796,405.051,443.722,404.581,0.344002344,0.481813889,0.375232031,0.482209722,0.377965625,0.437429167,0.346657813,0.438081944
5,4,943.242,365.152,983.407,364.397,981.895,396.269,941.578,397.442,0.736907813,0.492844444,0.768286719,0.493893056,0.767105469,0.449626389,0.735607813,0.447997222
6,1,424.926,128.417,465.855,123.539,466.363,155.393,426.183,160.185,0.331973438,0.821643056,0.363949219,0.828418056,0.364346094,0.784176389,0.332955469,0.777520833
6,2,936.915,105.934,978.181,109.134,981.037,141.623,939.453,138.964,0.731964844,0.852869444,0.764203906,0.848425,0.766435156,0.803301389,0.733947656,0.806994444
6,3,440.659,373.081,480.651,372.822,483.383,404,443.389,404,0.344264844,0.481831944,0.375508594,0.482191667,0.377642969,0.438888889,0.346397656,0.438888889
6,4,943.478,364.377,983.445,363.724,981.908,395.741,941.353,396.716,0.737092188,0.493920833,0.768316406,0.494827778,0.767115625,0.450359722,0.735432031,0.449005556
7,1,424.916,128.388,465.851,123.26,466.361,155.225,426.305,159.957,0.331965625,0.821683333,0.363946094,0.828805556,0.364344531,0.784409722,0.333050781,0.7778375
7,2,936.845,105.535,978.357,108.378,981.02,140.893,939.485,138.453,0.731910156,0.853423611,0.764341406,0.849475,0.766421875,0.804315278,0.733972656,0.807704167
7,3,440.693,373.225,480.631,372.356,483.687,404,443.683,404,0.344291406,0.481631944,0.375492969,0.482838889,0.377880469,0.438888889,0.346627344,0.438888889
7,4,943.799,364.386,984.396,362.87,981.921,394.878,942.194,396.415,0.737342969,0.493908333,0.769059375,0.496013889,0.767125781,0.451558333,0.736089063,0.449423611
8,1,425.846,128.056,465.739,123.316,466.944,155.229,426.344,159.728,0.332692188,0.822144444,0.363858594,0.828727778,0.3648,0.784404167,0.33308125,0.778155556
8,2,937.4,105.421,978.58,108.277,981.341,140.942,940.271,138.499,0.73234375,0.853581944,0.764515625,0.849615278,0.766672656,0.804247222,0.734586719,0.807640278
8,3,441.023,373.268,480.965,372.309,483.841,404,444.444,404,0.344549219,0.481572222,0.375753906,0.482904167,0.378000781,0.438888889,0.347221875,0.438888889
8,4,944.086,364.929,984.549,362.645,982.666,394.957,942.441,396.267,0.737567188,0.493154167,0.769178906,0.496326389,0.767707813,0.451448611,0.736282031,0.449629167
9,1,426.525,128.128,466.772,122.974,467.568,155.144,427.216,159.826,0.333222656,0.822044444,0.364665625,0.829202778,0.3652875,0.784522222,0.3337625,0.778019444
9,2,937.97,105.529,979.32,108.326,981.694,140.862,940.707,138.411,0.732789063,0.853431944,0.76509375,0.849547222,0.766948438,0.804358333,0.734927344,0.8077625
9,3,441.946,373.288,481.747,372.142,484.994,404,445.141,404,0.345270313,0.481544444,0.376364844,0.483136111,0.378901563,0.438888889,0.347766406,0.438888889
9,4,944.445,364.284,984.862,363.193,983.658,394.938,943.822,396.418,0.737847656,0.49405,0.769423438,0.495565278,0.768482813,0.451475,0.737360938,0.449419444
10,1,427.525,128.128,467.772,122.974,468.57,155.223,428.215,159.793,0.334003906,0.822044444,0.365446875,0.829202778,0.366070313,0.7844125,0.334542969,0.778065278
10,2,939.13,105.605,980.219,108.389,983.06,141.077,942.135,138.432,0.733695313,0.853326389,0.765796094,0.849459722,0.768015625,0.804059722,0.736042969,0.807733333
10,3,443.041,373.295,483.431,372.056,486.058,404,446.593,404,0.346125781,0.481534722,0.377680469,0.483255556,0.379732813,0.438888889,0.348900781,0.438888889
10,4,946.307,364.125,986.27,363.709,984.896,395.349,944.836,396.711,0.739302344,0.494270833,0.770523438,0.494848611,0.76945,0.450904167,0.738153125,0.4490125
11,1,428.807,128.214,469.575,122.759,470.193,155.157,429.483,159.755,0.335005469,0.821925,0.366855469,0.829501389,0.367338281,0.784504167,0.335533594,0.778118056
11,2,941.007,105.76,981.319,108.443,984.603,141.201,942.839,138.578,0.735161719,0.853111111,0.766655469,0.849384722,0.769221094,0.8038875,0.736592969,0.807530556
11,3,444.596,373.029,484.439,372.02,487.341,404,447.506,404,0.347340625,0.481904167,0.378467969,0.483305556,0.380735156,0.438888889,0.349614063,0.438888889
11,4,946.981,364.799,987.349,363.669,985.874,395.239,945.83,396.528,0.739828906,0.493334722,0.771366406,0.494904167,0.770214063,0.451056944,0.738929688,0.449266667
12,1,430,127.858,469.795,122.657,470.912,154.909,430,159.456,0.3359375,0.822419444,0.367027344,0.829643056,0.3679,0.784848611,0.3359375,0.778533333
12,3,444.805,372.155,484.936,371.815,488.093,403.392,448.285,403.205,0.347503906,0.483118056,0.37885625,0.483590278,0.381322656,0.439733333,0.350222656,0.439993056
