Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,458.062,158.158,498.228,154.498,498.351,186.709,457.881,189.993,0.3578609375,0.7803361111,0.389240625,0.7854194444,0.3893367188,0.7406819444,0.3577195313,0.7361208333
0,2,964.821,146.945,1004.82,150.06,1006.68,182.679,966.325,180.098,0.7537664063,0.7959097222,0.785015625,0.7915833333,0.78646875,0.7462791667,0.7549414063,0.7498638889
0,3,467.751,402.776,507.524,403.088,510.107,434.756,470.282,433.028,0.3654304688,0.4405888889,0.396503125,0.4401555556,0.3985210938,0.3961722222,0.3674078125,0.3985722222
0,4,965.344,404.181,1004.64,403.502,1002.53,434.727,963.076,436.174,0.754175,0.4386375,0.784875,0.4395805556,0.7832265625,0.3962125,0.752403125,0.3942027778
1,1,456.915,158.251,497.897,154.218,498.232,186.506,457.871,189.855,0.3569648438,0.7802069444,0.3889820313,0.7858083333,0.38924375,0.7409638889,0.3577117188,0.7363125
1,2,964.178,146.54,1004.25,149.688,1006.49,182.375,966.251,179.799,0.7532640625,0.7964722222,0.7845703125,0.7921,0.7863203125,0.7467013889,0.7548835938,0.7502791667
1,3,467.374,402.649,507.567,403.168,509.482,434.641,469.949,432.994,0.3651359375,0.4407652778,0.3965367188,0.4400444444,0.3980328125,0.3963319444,0.3671476563,0.3986194444
1,4,964.935,404.232,1004.64,402.987,1001.92,434.695,962.919,436.116,0.7538554688,0.4385666667,0.784875,0.4402958333,0.78275,0.3962569444,0.7522804688,0.3942833333
2,1,457,158.258,497.771,154.152,498.054,186.679,457,189.983,0.35703125,0.7801972222,0.3888835938,0.7859,0.3891046875,0.7407236111,0.35703125,0.7361347222
2,2,963.557,146.482,1003.62,149.481,1006.15,182.35,965.447,179.553,0.7527789063,0.7965527778,0.784078125,0.7923875,0.7860546875,0.7467361111,0.7542554688,0.7506208333
2,3,467.004,402.906,507.092,403.046,509.219,434.676,469.382,433.427,0.364846875,0.4404083333,0.396165625,0.4402138889,0.3978273438,0.3962833333,0.3667046875,0.3980180556
2,4,964.38,403.605,1004.1,402.867,1001.65,434.794,962.464,435.46,0.753421875,0.4394375,0.784453125,0.4404625,0.7825390625,0.3961194444,0.751925,0.3951944444
3,1,455.952,158.227,496.597,154.415,497.245,186.74,456.1,189.961,0.3562125,0.7802402778,0.3879664063,0.7855347222,0.3884726563,0.7406388889,0.356328125,0.7361652778
3,2,962.955,146.078,1003.01,149.197,1005.18,181.757,964.38,179.141,0.7523085938,0.7971138889,0.7836015625,0.7927819444,0.785296875,0.7475597222,0.753421875,0.7511930556
3,3,466.538,402.793,506.545,403.169,508.502,434.572,468.683,433.205,0.3644828125,0.4405652778,0.3957382813,0.4400430556,0.3972671875,0.3964277778,0.3661585938,0.3983263889
3,4,963.764,403.115,1003.51,402.727,1000.98,433.939,961.579,435.428,0.752940625,0.4401180556,0.7839921875,0.4406569444,0.782015625,0.3973069444,0.7512335938,0.3952388889
4,1,454.775,158.172,496,154.043,496,186.553,455.485,189.905,0.3552929688,0.7803166667,0.3875,0.7860513889,0.3875,0.7408986111,0.3558476563,0.7362430556
4,2,961.994,145.53,1002.05,148.37,1004.49,181.173,963.949,178.505,0.7515578125,0.797875,0.7828515625,0.7939305556,0.7847578125,0.7483708333,0.7530851563,0.7520763889
4,3,465.63,402.212,505.566,403.283,507.802,434.49,468.221,433.024,0.3637734375,0.4413722222,0.3949734375,0.4398847222,0.3967203125,0.3965416667,0.3657976563,0.3985777778
4,4,963.09,402.398,1002.53,401.894,1000.69,433.205,961.15,434.637,0.7524140625,0.4411138889,0.7832265625,0.4418138889,0.7817890625,0.3983263889,0.7508984375,0.3963375
