Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,374.931,154.532,422.193,149.705,421.908,185.917,375.321,190.149,0.2929148438,0.7853722222,0.3298382813,0.7920763889,0.329615625,0.7417819444,0.2932195313,0.7359041667
0,2,919.068,144.69,958.146,148.25,959.473,181.337,920.511,178.54,0.718021875,0.7990416667,0.7485515625,0.7940972222,0.7495882813,0.7481430556,0.7191492188,0.7520277778
0,3,388.942,428.216,434.401,426.904,437.684,462,392.452,462,0.3038609375,0.4052555556,0.3393757813,0.4070777778,0.341940625,0.3583333333,0.306603125,0.3583333333
0,4,919.991,405.42,958.495,402.855,955.962,434.696,918.043,438.023,0.7187429688,0.4369166667,0.7488242188,0.4404791667,0.7468453125,0.3962555556,0.7172210938,0.3916347222
1,1,376.053,154.265,422.612,149.395,422.465,185.711,375.901,189.879,0.2937914063,0.7857430556,0.330165625,0.7925069444,0.3300507813,0.7420680556,0.2936726563,0.7362791667
1,2,919.497,144.648,958.767,148.217,960.262,181.096,921.204,178.502,0.7183570313,0.7991,0.7490367188,0.7941430556,0.7502046875,0.7484777778,0.719690625,0.7520805556
1,3,389.485,427.731,435.378,426.664,438.265,461.389,393.196,462.131,0.3042851563,0.4059291667,0.3401390625,0.4074111111,0.3423945313,0.3591819444,0.307184375,0.3581513889
1,4,920.399,405.487,958.555,402.717,956.86,434.708,918.468,437.801,0.7190617188,0.4368236111,0.7488710938,0.4406708333,0.747546875,0.3962388889,0.717553125,0.3919430556
2,1,376.16,154.23,422.373,149.319,422.716,185.447,375.856,189.913,0.293875,0.7857916667,0.3299789063,0.7926125,0.330246875,0.7424347222,0.2936375,0.7362319444
2,2,919.604,144.484,958.844,147.944,960.363,180.83,921.202,178.432,0.718440625,0.7993277778,0.749096875,0.7945222222,0.7502835938,0.7488472222,0.7196890625,0.7521777778
2,3,389.446,427.245,435.548,427.159,438.517,461.229,393.479,461.615,0.3042546875,0.4066041667,0.340271875,0.4067236111,0.3425914063,0.3594041667,0.3074054688,0.3588680556
2,4,920.399,405.418,958.806,402.416,956.898,434.487,918.617,437.733,0.7190617188,0.4369194444,0.7490671875,0.4410888889,0.7475765625,0.3965458333,0.7176695313,0.3920375
3,1,377.056,153.939,422.962,149.325,423.317,185.405,376.895,189.583,0.294575,0.7861958333,0.3304390625,0.7926041667,0.3307164063,0.7424930556,0.2944492188,0.7366902778
3,2,919.671,144.337,959.114,147.926,960.554,180.807,921.619,178.253,0.7184929688,0.7995319444,0.7493078125,0.7945472222,0.7504328125,0.7488791667,0.7200148438,0.7524263889
3,3,390.001,427.154,435.619,426.806,439.082,461.082,393.824,461.279,0.3046882813,0.4067305556,0.3403273438,0.4072138889,0.3430328125,0.3596083333,0.307675,0.3593347222
3,4,920.79,405.265,959.381,402.312,957.289,434.572,919.152,437.502,0.7193671875,0.4371319444,0.7495164063,0.4412333333,0.7478820313,0.3964277778,0.7180875,0.3923583333
4,1,377,153.944,424,149.058,424,185.282,377,189.575,0.29453125,0.7861888889,0.33125,0.792975,0.33125,0.7426638889,0.29453125,0.7367013889
4,2,920.269,144.309,959.464,147.848,961.232,180.698,922.281,178.363,0.7189601563,0.7995708333,0.74958125,0.7946555556,0.7509625,0.7490305556,0.7205320313,0.7522736111
4,3,390.47,427.108,436.321,426.758,439.492,461.067,394.142,461.153,0.3050546875,0.4067944444,0.3408757813,0.4072805556,0.343353125,0.3596291667,0.3079234375,0.3595097222
4,4,921.27,405.27,959.84,402.372,957.555,434.463,919.395,437.699,0.7197421875,0.437125,0.749875,0.44115,0.7480898438,0.3965791667,0.7182773438,0.3920847222
5,1,378.027,153.872,424.106,149.137,423.943,185.268,377.549,189.624,0.2953335938,0.7862888889,0.3313328125,0.7928652778,0.3312054688,0.7426833333,0.2949601563,0.7366333333
5,2,920.817,144.451,959.78,147.942,961.792,181.001,922.436,178.26,0.7193882813,0.7993736111,0.749828125,0.794525,0.7514,0.7486097222,0.720653125,0.7524166667
5,3,390.796,427.08,436.698,426.831,439.98,461.091,394.659,461.133,0.305309375,0.4068333333,0.3411703125,0.4071791667,0.343734375,0.3595958333,0.3083273438,0.3595375
5,4,922.207,405.323,960.082,402.502,958.347,434.533,919.797,437.802,0.7204742188,0.4370513889,0.7500640625,0.4409694444,0.7487085938,0.3964819444,0.7185914063,0.3919416667
6,1,378,153.753,424.07,149.177,424.423,185.515,378,189.403,0.2953125,0.7864541667,0.3313046875,0.7928097222,0.3315804688,0.7423402778,0.2953125,0.7369402778
6,2,921.228,144.551,960.355,147.838,962.053,181.027,923.007,178.293,0.719709375,0.7992347222,0.7502773438,0.7946694444,0.7516039063,0.7485736111,0.7210992188,0.7523708333
6,3,390.998,427.077,436.909,426.838,440.12,461.066,394.862,461.203,0.3054671875,0.4068375,0.3413351563,0.4071694444,0.34384375,0.3596305556,0.3084859375,0.3594402778
6,4,922.369,405.301,960.365,402.386,958.522,434.405,920.298,437.74,0.7206007813,0.4370819444,0.7502851563,0.4411305556,0.7488453125,0.3966597222,0.7189828125,0.3920277778
7,1,378,153.931,424.101,149.25,424.556,185.474,378,189.565,0.2953125,0.7862069444,0.3313289063,0.7927083333,0.331684375,0.7423972222,0.2953125,0.7367152778
7,2,921.23,144.415,960.093,147.451,962.205,180.534,922.993,178.206,0.7197109375,0.7994236111,0.7500726563,0.7952069444,0.7517226563,0.7492583333,0.7210882813,0.7524916667
7,3,391.058,427.037,436.763,426.921,440.29,461.322,395.013,462.067,0.3055140625,0.4068930556,0.3412210938,0.4070541667,0.3439765625,0.359275,0.3086039063,0.3582402778
