FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,391.207,136.6,438.283,132.425,437.882,168.45,390.91,172.359,0.3056304688,0.8102777778,0.3424085938,0.8160763889,0.3420953125,0.7660416667,0.3053984375,0.7606125
0,2,934.99,134.598,973.604,138.483,974.901,171.382,936.284,168.349,0.7304609375,0.8130583333,0.760628125,0.8076625,0.7616414063,0.7619694444,0.731471875,0.7661819444
0,3,401.794,410.928,447.625,409.54,450.474,444.681,405.181,444.935,0.3139015625,0.4292666667,0.3497070313,0.4311944444,0.3519328125,0.3823875,0.3165476563,0.3820347222
0,4,932.562,394.609,970.74,392.474,968.216,424.471,930.292,427.115,0.7285640625,0.4519319444,0.758390625,0.4548972222,0.75641875,0.4104569444,0.726790625,0.4067847222
1,1,391.206,136.727,438.246,132.344,437.963,168.551,390.912,172.151,0.3056296875,0.8101013889,0.3423796875,0.8161888889,0.3421585938,0.7659013889,0.3054,0.7609013889
1,2,934.769,134.417,973.679,138.692,974.988,171.334,936.316,168.304,0.7302882813,0.8133097222,0.7606867188,0.8073722222,0.761709375,0.7620361111,0.731496875,0.7662444444
1,3,401.715,410.573,447.708,409.196,450.563,444.409,405.21,444.775,0.3138398438,0.4297597222,0.349771875,0.4316722222,0.3520023438,0.3827652778,0.3165703125,0.3822569444
1,4,932.425,394.363,970.802,392.527,968.26,424.615,930.46,427.035,0.7284570313,0.4522736111,0.7584390625,0.4548236111,0.756453125,0.4102569444,0.726921875,0.4068958333
2,1,391.165,136.443,438.283,132.38,437.881,168.56,391.005,171.973,0.3055976563,0.8104958333,0.3424085938,0.8161388889,0.3420945313,0.7658888889,0.3054726563,0.7611486111
2,2,934.753,134.538,973.596,138.524,975.035,171.447,936.35,168.142,0.7302757813,0.8131416667,0.760621875,0.8076055556,0.7617460938,0.7618791667,0.7315234375,0.7664694444
2,3,401.65,410.093,447.616,409.242,450.293,444.416,405.051,444.139,0.3137890625,0.4304263889,0.3497,0.4316083333,0.3517914063,0.3827555556,0.3164460938,0.3831402778
2,4,932.401,394.353,970.642,392.545,968.258,424.382,930.419,427.115,0.7284382813,0.4522875,0.7583140625,0.4547986111,0.7564515625,0.4105805556,0.7268898438,0.4067847222
