Frame No,Marker No,Top left,,Top Right,,Bottom Right,,Bottm Left,,Top left,,Top Right,,Bottom Right,,Bottm Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,1,387.56,144.552,434.199,140.514,433.9,176.566,386.789,180.304,0.30278125,0.7992333333,0.3392179688,0.8048416667,0.338984375,0.7547694444,0.3021789063,0.7495777778
0,2,929.835,143.642,968.604,147.471,970.153,180.617,931.256,177.333,0.7264335938,0.8004972222,0.756721875,0.7951791667,0.7579320313,0.7491430556,0.72754375,0.7537041667
0,3,396.828,420.915,442.784,421.043,445.403,455.162,400.115,454.917,0.310021875,0.4153958333,0.345925,0.4152180556,0.3479710938,0.3678305556,0.3125898438,0.3681708333
0,4,926.651,406.138,964.844,403.942,962.359,435.716,924.296,438.785,0.7239460938,0.4359194444,0.753784375,0.4389694444,0.7518429688,0.3948388889,0.72210625,0.3905763889
1,1,386.959,154.635,434,150.835,434,186.596,387.087,189.851,0.3023117188,0.7852291667,0.3390625,0.7905069444,0.3390625,0.7408388889,0.3024117188,0.7363180556
1,2,929.265,153.106,967.808,157.108,969.24,189.641,930.266,186.492,0.7259882813,0.7873527778,0.7561,0.7817944444,0.75721875,0.7366097222,0.7267703125,0.7409833333
1,4,926.393,417.422,964.42,415.154,961.958,446.609,924.089,449.438,0.7237445313,0.4202472222,0.753453125,0.4233972222,0.7515296875,0.3797097222,0.7219445313,0.3757805556
2,1,388.112,166.936,434.141,163.341,434.183,198.492,387.642,201.692,0.3032125,0.7681444444,0.3391726563,0.7731375,0.3392054688,0.7243166667,0.3028453125,0.7198722222
2,2,929.392,164.96,967.86,168.807,969.299,200.713,930.169,197.936,0.7260875,0.7708888889,0.756140625,0.7655458333,0.7572648438,0.7212319444,0.7266945313,0.7250888889
2,3,398.021,443,443.56,443,446.257,477.2,401.291,476.967,0.3109539063,0.3847222222,0.34653125,0.3847222222,0.3486382813,0.3372222222,0.3135085938,0.3375458333
2,4,926.354,428.335,964.564,425.521,962.242,456.676,924.264,459.356,0.7237140625,0.4050902778,0.753565625,0.4089986111,0.7517515625,0.3657277778,0.72208125,0.3620055556
3,1,389,171.406,436,167.725,436,203.793,389,207.043,0.30390625,0.7619361111,0.340625,0.7670486111,0.340625,0.7169541667,0.30390625,0.7124402778
3,2,930.438,170.128,968.873,173.551,970.43,206.366,931.639,203.721,0.7269046875,0.7637111111,0.7569320313,0.7589569444,0.7581484375,0.7133805556,0.7278429688,0.7170541667
3,3,399.426,442.473,445.534,443.812,447.211,475.971,402.28,475.453,0.3120515625,0.3854541667,0.3480734375,0.3835944444,0.3493835938,0.3389291667,0.31428125,0.3396486111
3,4,927.573,428.397,965.811,426.213,963.118,456.881,925.357,460.426,0.7246664063,0.4050041667,0.7545398438,0.4080375,0.7524359375,0.3654430556,0.7229351563,0.3605194444
4,1,391.13,161.673,438.046,157.813,437.898,192.56,390.725,195.469,0.3055703125,0.7754541667,0.3422234375,0.7808152778,0.3421078125,0.7325555556,0.3052539063,0.7285152778
4,2,931.967,161.122,970.602,165.092,972.172,196.634,933.232,193.391,0.7280992188,0.7762194444,0.7582828125,0.7707055556,0.759509375,0.7268972222,0.7290875,0.7314013889
4,3,400.593,431.027,446.187,431.231,448.767,464,403.382,464,0.3129632813,0.4013513889,0.3485835938,0.4010680556,0.3505992188,0.3555555556,0.3151421875,0.3555555556
4,4,929.093,417.215,967.068,414.517,964.652,445.679,926.889,448.463,0.7258539063,0.4205347222,0.755521875,0.4242819444,0.753634375,0.3810013889,0.7241320313,0.3771347222
5,1,391.081,153.673,437.325,149.863,436.646,185.69,389.978,189.241,0.3055320313,0.7865652778,0.3416601563,0.7918569444,0.3411296875,0.7420972222,0.3046703125,0.7371652778
5,2,931.999,152.978,970.694,157.2,972.019,189.947,933.301,186.663,0.7281242188,0.7875305556,0.7583546875,0.7816666667,0.7593898438,0.7361847222,0.7291414063,0.7407458333
5,3,399.283,426.613,444.865,426.649,447.796,461.077,402.425,460.699,0.3119398438,0.4074819444,0.3475507813,0.4074319444,0.349840625,0.3596152778,0.3143945313,0.3601402778
5,4,928.538,412.379,966.495,410.52,963.648,442.035,925.648,444.889,0.7254203125,0.4272513889,0.7550742188,0.4298333333,0.75285,0.3860625,0.7231625,0.3820986111
6,1,389,153.368,436.249,149.669,435.555,185.584,389,189.341,0.30390625,0.7869888889,0.3408195313,0.7921263889,0.3402773438,0.7422444444,0.30390625,0.7370263889
6,2,930.853,153.189,969.622,156.902,970.762,189.695,932.224,186.793,0.7272289063,0.7872375,0.7575171875,0.7820805556,0.7584078125,0.7365347222,0.7283,0.7405652778
6,3,398.397,427.637,444.392,426.931,446.612,462.131,401.314,461.016,0.3112476563,0.4060597222,0.34718125,0.4070402778,0.348915625,0.3581513889,0.3135265625,0.3597
6,4,927.387,412.994,965.632,410.584,962.924,442.492,925.089,445.129,0.7245210938,0.4263972222,0.7544,0.4297444444,0.752284375,0.3854277778,0.7227257813,0.3817652778
7,1,388.309,156.18,435.206,152.286,434.893,188.099,387.876,191.959,0.3033664063,0.7830833333,0.3400046875,0.7884916667,0.3397601563,0.7387513889,0.303028125,0.7333902778
7,2,929.899,154.281,968.732,157.974,970.205,190.623,931.302,187.906,0.7264835938,0.7857208333,0.756821875,0.7805916667,0.7579726563,0.7352458333,0.7275796875,0.7390194444
7,3,398.352,432.039,444.398,431.57,446.59,466.112,401.307,465.526,0.3112125,0.3999458333,0.3471859375,0.4005972222,0.3488984375,0.3526222222,0.3135210938,0.3534361111
7,4,927.383,415.242,965.542,413.643,962.874,445.087,925.128,448.152,0.7245179688,0.423275,0.7543296875,0.4254958333,0.7522453125,0.3818236111,0.72275625,0.3775666667
8,1,388.253,163.169,434.539,159.449,433.813,195.877,387.45,199.587,0.3033226563,0.7733763889,0.3394835938,0.7785430556,0.3389164063,0.7279486111,0.3026953125,0.7227958333
8,2,929.388,160.079,968.109,163.489,969.556,196.533,930.554,194.227,0.726084375,0.7776680556,0.7563351563,0.7729319444,0.757465625,0.7270375,0.7269953125,0.7302402778
